"symbole du client";"Référence";"Marque du fabricant";"Fabricant";"Quantité";"Unité";"Prix brut";"Valeur brute";"Devise"
"";"MCSP-Q-08-A-SG";"MCSP-Q-08-A-SG-T/R";"ADAM TECH";"5";"pcs";"1.06";"5.3";"EUR"
"";"MSS-2235";"";"NINIGI";"5";"pcs";"0.54";"2.7";"EUR"
"";"CRCW080588K7FKTABC";"CRCW080588K7FKTABC";"VISHAY";"100";"pcs";"0.0301";"3.01";"EUR"
"";"AR0805-33K-0.1%";"AR05BTCW3302";"Viking";"10";"pcs";"0.12";"1.2";"EUR"
"";"AR0805-10K-0.1%";"AR05BTCW1002";"Viking";"10";"pcs";"0.12";"1.2";"EUR"
"";"C0805C104M3RACTU";"C0805C104M3RACTU";"KEMET";"10";"pcs";"0.086";"0.86";"EUR"
"";"BC-2001";"BC-2001";"COMF";"10";"pcs";"0.294";"2.94";"EUR"
"";"1301.9316";"1301.9316";"SCHURTER";"30";"pcs";"0.3";"9";"EUR"
"";"C0603X104K5RAC3316";"C0603X104K5RAC3316";"KEMET";"10";"pcs";"0.089";"0.89";"EUR"
"";"BSS123.215";"BSS123.215";"NEXPERIA";"10";"pcs";"0.084";"0.84";"EUR"
"";"SMD0805-22K";"0805S8J0223T5E";"ROYAL OHM";"100";"pcs";"0.0132";"1.32";"EUR"
"";"LET5020DS-03L";"LET5020DS-03L-4.0-12-R";"Cre-sound Electronics";"5";"pcs";"1.37";"6.85";"EUR"
"";"ATTINY85-20SF";"ATTINY85-20SF";"MICROCHIP (ATMEL)";"5";"pcs";"1.28";"6.4";"EUR"
